Id2,Geography,Supply,Year
1,Alabama,2184489,2011
2,Alaska,308499,2011
3,Arizona,2860024,2011
4,Arkansas,1324757,2011
5,California,13728564,2011
6,Colorado,2226684,2011
7,Connecticut,1491803,2011
8,Delaware,408935,2011
9,District of Columbia,296364,2011
10,Florida,9020859,2011
11,Georgia,4103197,2011
12,Hawaii,523213,2011
13,Idaho,673018,2011
14,Illinois,5302807,2011
15,Indiana,2806775,2011
16,Iowa,1343439,2011
17,Kansas,1238054,2011
18,Kentucky,1934827,2011
19,Louisiana,1978987,2011
20,Maine,724977,2011
21,Maryland,2386743,2011
22,Massachusetts,2817888,2011
23,Michigan,4535193,2011
24,Minnesota,2356136,2011
25,Mississippi,1282033,2011
26,Missouri,2719905,2011
27,Montana,486580,2011
28,Nebraska,801868,2011
29,Nevada,1181309,2011
30,New Hampshire,617470,2011
31,New Jersey,3562473,2011
32,New Mexico,908000,2011
33,New York,8143563,2011
34,North Carolina,4361008,2011
35,North Dakota,322584,2011
36,Ohio,5134669,2011
37,Oklahoma,1672760,2011
38,Oregon,1683721,2011
39,Pennsylvania,5587339,2011
40,Rhode Island,464234,2011
41,South Carolina,2151621,2011
42,South Dakota,366917,2011
43,Tennessee,2827790,2011
44,Texas,10077012,2011
45,Utah,990853,2011
46,Vermont,324436,2011
47,Virginia,3383399,2011
48,Washington,2909266,2011
49,West Virginia,883636,2011
50,Wisconsin,2632911,2011
51,Wyoming,264695,2011
1,Alabama,2195233,2012
2,Alaska,310003,2012
3,Arizona,2872724,2012
4,Arkansas,1331123,2012
5,California,13771417,2012
6,Colorado,2239267,2012
7,Connecticut,1494249,2012
8,Delaware,411189,2012
9,District of Columbia,299821,2012
10,Florida,9050008,2012
11,Georgia,4115884,2012
12,Hawaii,525678,2012
13,Idaho,676966,2012
14,Illinois,5307206,2012
15,Indiana,2815823,2012
16,Iowa,1348811,2012
17,Kansas,1241996,2012
18,Kentucky,1941036,2012
19,Louisiana,1990707,2012
20,Maine,727156,2012
21,Maryland,2394788,2012
22,Massachusetts,2826475,2012
23,Michigan,4539436,2012
24,Minnesota,2362661,2012
25,Mississippi,1287291,2012
26,Missouri,2726547,2012
27,Montana,489178,2012
28,Nebraska,806064,2012
29,Nevada,1186965,2012
30,New Hampshire,619517,2012
31,New Jersey,3571407,2012
32,New Mexico,912663,2012
33,New York,8170562,2012
34,North Carolina,4386942,2012
35,North Dakota,330734,2012
36,Ohio,5140803,2012
37,Oklahoma,1679939,2012
38,Oregon,1691053,2012
39,Pennsylvania,5599313,2012
40,Rhode Island,464684,2012
41,South Carolina,2164116,2012
42,South Dakota,369616,2012
43,Tennessee,2839114,2012
44,Texas,10167982,2012
45,Utah,1000440,2012
46,Vermont,325822,2012
47,Virginia,3400397,2012
48,Washington,2929011,2012
49,West Virginia,884786,2012
50,Wisconsin,2638997,2012
51,Wyoming,266848,2012
1,Alabama,2206994,2013
2,Alaska,311249,2013
3,Arizona,2891278,2013
4,Arkansas,1338838,2013
5,California,13828112,2013
6,Colorado,2261410,2013
7,Connecticut,1498183,2013
8,Delaware,414555,2013
9,District of Columbia,302494,2013
10,Florida,9100952,2013
11,Georgia,4134091,2013
12,Hawaii,528390,2013
13,Idaho,683117,2013
14,Illinois,5313235,2013
15,Indiana,2826191,2013
16,Iowa,1356486,2013
17,Kansas,1246678,2013
18,Kentucky,1948915,2013
19,Louisiana,2002995,2013
20,Maine,729650,2013
21,Maryland,2404439,2013
22,Massachusetts,2838360,2013
23,Michigan,4546128,2013
24,Minnesota,2375719,2013
25,Mississippi,1293519,2013
26,Missouri,2735762,2013
27,Montana,492074,2013
28,Nebraska,811158,2013
29,Nevada,1195523,2013
30,New Hampshire,621535,2013
31,New Jersey,3577670,2013
32,New Mexico,917527,2013
33,New York,8194675,2013
34,North Carolina,4428155,2013
35,North Dakota,341613,2013
36,Ohio,5149978,2013
37,Oklahoma,1690266,2013
38,Oregon,1701207,2013
39,Pennsylvania,5614800,2013
40,Rhode Island,465158,2013
41,South Carolina,2179874,2013
42,South Dakota,373546,2013
43,Tennessee,2855320,2013
44,Texas,10298263,2013
45,Utah,1013360,2013
46,Vermont,327317,2013
47,Virginia,3421133,2013
48,Washington,2956354,2013
49,West Virginia,886383,2013
50,Wisconsin,2647095,2013
51,Wyoming,268983,2013
1,Alabama,2206994,2014
2,Alaska,311249,2014
3,Arizona,2891278,2014
4,Arkansas,1338838,2014
5,California,13828112,2014
6,Colorado,2261410,2014
7,Connecticut,1498183,2014
8,Delaware,414555,2014
9,District of Columbia,302494,2014
10,Florida,9100952,2014
11,Georgia,4134091,2014
12,Hawaii,528390,2014
13,Idaho,683117,2014
14,Illinois,5313235,2014
15,Indiana,2826191,2014
16,Iowa,1356486,2014
17,Kansas,1246678,2014
18,Kentucky,1948915,2014
19,Louisiana,2002995,2014
20,Maine,729650,2014
21,Maryland,2404439,2014
22,Massachusetts,2838360,2014
23,Michigan,4546128,2014
24,Minnesota,2375719,2014
25,Mississippi,1293519,2014
26,Missouri,2735762,2014
27,Montana,492074,2014
28,Nebraska,811158,2014
29,Nevada,1195523,2014
30,New Hampshire,621535,2014
31,New Jersey,3577670,2014
32,New Mexico,917527,2014
33,New York,8194675,2014
34,North Carolina,4428155,2014
35,North Dakota,341613,2014
36,Ohio,5149978,2014
37,Oklahoma,1690266,2014
38,Oregon,1701207,2014
39,Pennsylvania,5614800,2014
40,Rhode Island,465158,2014
41,South Carolina,2179874,2014
42,South Dakota,373546,2014
43,Tennessee,2855320,2014
44,Texas,10298263,2014
45,Utah,1013360,2014
46,Vermont,327317,2014
47,Virginia,3421133,2014
48,Washington,2956354,2014
49,West Virginia,886383,2014
50,Wisconsin,2647095,2014
51,Wyoming,268983,2014
1,Alabama,2229279,2015
2,Alaska,313941,2015
3,Arizona,2937060,2015
4,Arkansas,1353037,2015
5,California,13986110,2015
6,Colorado,2317449,2015
7,Connecticut,1507332,2015
8,Delaware,423140,2015
9,District of Columbia,307569,2015
10,Florida,9242785,2015
11,Georgia,4196753,2015
12,Hawaii,534727,2015
13,Idaho,700089,2015
14,Illinois,5333605,2015
15,Indiana,2854692,2015
16,Iowa,1375377,2015
17,Kansas,1259013,2015
18,Kentucky,1963484,2015
