Region_ID,Rent,Year,Total_Homeless ,U1,U2,U3,U4,U5,U6,pctdisc,pctinv,Civilian,pcthmlsofciv,gini,pctcrime,crime,Housing_Supply,CPI,State
3,784,2011,2128,2.8,4.2,7.6,8.1,9.1,13.5,0.542152345,4.526972079,344900,0.552913888,0.57,0.017,6110.3,2184489,218.618,Alabama
1,1366,2011,5558,6.1,5.4,9.8,10.6,11.6,16.2,0.878236209,4.688500595,2262700,0.144119857,0.59,0.002,4200.3,308499,227.485,Alaska
1,817,2011,3424,4.4,4.8,8.6,9.2,9.9,14.1,0.619058147,4.274449112,1369800,0.198350124,0.61,0.004,4823.1,2860024,227.485,Arizona
3,733,2011,10504,5.9,5.2,9.5,10.1,11.2,18,0.637126209,6.973170263,3544200,0.282348626,0.62,0.001,4141.3,1324757,218.618,Arkansas
1,1540,2011,125128,7,7,11.6,12.3,13.4,21.1,0.791888243,7.824098311,19435400,0.778363193,0.67,0,4109.9,13728564,227.485,California
1,906,2011,15116,4.7,5.2,8.4,8.7,9.5,15.1,0.340518022,5.680130411,3143600,0.305986767,0.62,0.001,3141.9,2226684,227.485,Colorado
4,1089,2011,4456,5.6,5.7,8.9,9.6,10.4,15.4,0.74070155,5.073805619,1914700,0.158406017,0.68,0.001,2754.8,1491803,240.997,Connecticut
3,929,2011,6546,6.7,5,10.4,11.1,12.4,15.8,0.759124088,3.386861314,411900,1.58315125,0.64,0.035,11979.6,408935,218.618,Delaware
3,1842,2011,1035,4.4,4.6,7.5,8.1,8.8,13.2,0.615454753,4.467745612,490100,0.187920832,0.56,0.013,5665.7,296364,218.618,District of Columbia
3,965,2011,56687,6.7,6.2,10,10.8,11.6,17.6,0.969570242,6.123369834,10357000,0.273515497,0.69,0.001,5139.8,9020859,218.618,Florida
3,898,2011,20975,6.3,5.8,10.1,10.8,11.8,17.1,0.81226309,5.460907235,5083700,0.205421248,0.64,0.001,3746.5,4103197,218.618,Georgia
1,2035,2011,6188,4.5,4.2,7.3,7.8,9,15.1,0.568990043,6.195669354,661200,0.969751966,0.57,0.004,2514.1,523213,227.485,Hawaii
1,623,2011,3134,2.6,3.2,5.8,6.1,6.7,11.3,0.289400699,4.588206922,1758600,0.131638804,0.56,0.002,2571.6,673018,227.485,Idaho
2,1194,2011,2199,4.4,4.9,8.7,9.1,9.9,16.1,0.445259298,6.259821896,883200,0.262115036,0.63,0.003,2021.3,5302807,214.743,Illinois
2,744,2011,14009,6.1,6.2,9.7,10.2,10.9,17,0.578131164,6.125762496,6464000,0.157781559,0.63,0.001,4239.1,2806775,214.743,Indiana
2,714,2011,6196,5.7,5.2,9,9.6,10.3,15.7,0.65748081,5.495784573,3384300,0.161658245,0.58,0.001,3317.4,1343439,214.743,Iowa
2,709,2011,2511,3.5,3.9,6.7,7,7.8,12.1,0.253367116,4.267235631,1480700,0.160802323,0.6,0.002,3557.2,1238054,214.743,Kansas
3,661,2011,6034,5.1,5.7,9.5,10,10.7,15.6,0.567961165,5.038834951,2068800,0.19716744,0.57,0.001,2395.9,1934827,218.618,Kentucky
3,884,2011,9291,4,3.5,7.8,8.4,9.5,13.4,0.666340029,4.017638413,2097600,0.140207857,0.59,0.003,5545.5,1978987,218.618,Louisiana
4,1046,2011,16664,4.3,4.8,7.3,7.8,8.7,14.3,0.56992296,5.693501733,3840800,0.480915434,0.64,0.001,4269.9,724977,240.997,Maine
