RegionID,RegionName,SizeRank,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01
4,Alabama,23,784,783,748,760,781,812,822,827
3,Alaska,47,1366,1269,1346,1293,1412,1381,1316,1293
8,Arizona,16,817,785,794,837,888,936,1021,1065
6,Arkansas,32,733,679,705,735,736,746,799,776
9,California,1,1540,1549,1642,1728,1902,2043,2145,2177
10,Colorado,22,906,949,1027,1079,1241,1341,1363,1419
11,Connecticut,29,1089,1129,1168,1173,1199,1238,1271,1279
13,Delaware,45,929,916,918,1086,1048,1137,1122,1122
12,District of Columbia,50,1842,1963,2015,1945,1952,2022,2080,2053
14,Florida,4,965,1005,1049,1109,1178,1261,1328,1349
16,Georgia,9,898,907,915,976,1060,1136,1184,1228
18,Hawaii,40,2035,1928,1599,1928,1815,2023,2048,2051
20,Idaho,39,623,638,652,681,723,767,820,876
21,Illinois,5,1194,1185,1200,1288,1337,1339,1351,1369
22,Indiana,15,744,718,744,756,770,794,824,845
19,Iowa,30,714,775,804,839,806,839,858,842
23,Kansas,33,709,770,824,800,815,853,847,834
24,Kentucky,26,661,734,766,789,798,830,856,861
25,Louisiana,25,884,893,905,934,992,1031,1084,1050
28,Maine,41,1046,901,1031,1024,984,1032,1046,1133
27,Maryland,19,1238,1322,1361,1380,1395,1406,1420,1437
26,Massachusetts,14,1589,1583,1759,1853,1946,2007,2086,2102
30,Michigan,8,784,739,743,768,795,813,838,879
31,Minnesota,21,895,983,1058,1092,1130,1175,1228,1271
34,Mississippi,31,786,749,758,800,825,866,858,850
32,Missouri,18,717,753,757,770,762,801,826,834
35,Montana,44,819,763,800,815,778,830,871,880
38,Nebraska,38,569,699,692,769,752,744,776,816
42,Nevada,35,847,862,838,837,895,978,1085,1138
39,New Hampshire,42,1133,1116,1142,1180,1192,1260,1303,1327
40,New Jersey,11,1452,1406,1399,1465,1498,1561,1648,1679
41,New Mexico,36,773,772,757,768,768,800,801,792
43,New York,3,1562,1574,1647,1796,1876,2037,2123,2097
36,North Carolina,10,878,825,851,898,912,964,1037,1062
37,North Dakota,48,874,763,865,905,1057,918,818,794
44,Ohio,7,718,713,736,752,784,839,850,857
45,Oklahoma,28,686,701,753,771,754,821,818,812
46,Oregon,27,799,841,881,963,1080,1236,1319,1318
47,Pennsylvania,6,959,914,954,972,998,1040,1071,1111
50,Rhode Island,43,1133,1133,989,1028,1102,1196,1256,1227
51,South Carolina,24,761,779,809,888,950,972,1057,1054
52,South Dakota,46,775.5,623,775.5,725,763,846,854,842
53,Tennessee,17,759,799,813,843,876,937,1009,1012
54,Texas,2,946,873,904,1012,1095,1157,1182,1190
55,Utah,34,905,755,827,854,856,924,1041,1078
58,Vermont,49,1432,1432,1432,1162,1371,1499,1530,1598
56,Virginia,12,1192,1293,1341,1343,1346,1378,1413,1452
59,Washington,13,1093,1040,1067,1179,1284,1361,1496,1528
61,West Virginia,37,834,825,843,855,870,848,814,784
60,Wisconsin,20,765.1666667,675,700,892,777,800,810,829
62,Wyoming,51,888,888,888,911,956,935,817,822
,,,783,,,,,,,
,,,1269,,,,,,,
,,,785,,,,,,,
,,,679,,,,,,,
,,,1549,,,,,,,
,,,949,,,,,,,
,,,1129,,,,,,,
,,,916,,,,,,,
,,,1963,,,,,,,
,,,1005,,,,,,,
,,,907,,,,,,,
,,,1928,,,,,,,
,,,638,,,,,,,
,,,1185,,,,,,,
,,,718,,,,,,,
,,,775,,,,,,,
,,,770,,,,,,,
,,,734,,,,,,,
,,,893,,,,,,,
,,,901,,,,,,,
,,,1322,,,,,,,
,,,1583,,,,,,,
,,,739,,,,,,,
,,,983,,,,,,,
,,,749,,,,,,,
,,,753,,,,,,,
,,,763,,,,,,,
,,,699,,,,,,,
,,,862,,,,,,,
,,,1116,,,,,,,
,,,1406,,,,,,,
,,,772,,,,,,,
,,,1574,,,,,,,
,,,825,,,,,,,
,,,763,,,,,,,
,,,713,,,,,,,
,,,701,,,,,,,
,,,841,,,,,,,
,,,914,,,,,,,
,,,1133,,,,,,,
,,,779,,,,,,,
,,,623,,,,,,,
,,,799,,,,,,,
,,,873,,,,,,,
,,,755,,,,,,,
,,,1432,,,,,,,
,,,1293,,,,,,,
,,,1040,,,,,,,
,,,825,,,,,,,
,,,675,,,,,,,
,,,888,,,,,,,
,,,748,,,,,,,
,,,1346,,,,,,,
,,,794,,,,,,,
,,,705,,,,,,,
,,,1642,,,,,,,
,,,1027,,,,,,,
,,,1168,,,,,,,
,,,918,,,,,,,
,,,2015,,,,,,,
,,,1049,,,,,,,
,,,915,,,,,,,
,,,1599,,,,,,,
,,,652,,,,,,,
,,,1200,,,,,,,
,,,744,,,,,,,
,,,804,,,,,,,
,,,824,,,,,,,
,,,766,,,,,,,
,,,905,,,,,,,
,,,1031,,,,,,,
,,,1361,,,,,,,
,,,1759,,,,,,,
,,,743,,,,,,,
,,,1058,,,,,,,
,,,758,,,,,,,
,,,757,,,,,,,
,,,800,,,,,,,
,,,692,,,,,,,
,,,838,,,,,,,
,,,1142,,,,,,,
,,,1399,,,,,,,
,,,757,,,,,,,
,,,1647,,,,,,,
,,,851,,,,,,,
,,,865,,,,,,,
,,,736,,,,,,,
,,,753,,,,,,,
,,,881,,,,,,,
,,,954,,,,,,,
,,,989,,,,,,,
,,,809,,,,,,,
,,,775.5,,,,,,,
,,,813,,,,,,,
,,,904,,,,,,,
,,,827,,,,,,,
,,,1432,,,,,,,
,,,1341,,,,,,,
,,,1067,,,,,,,
,,,843,,,,,,,
,,,700,,,,,,,
,,,888,,,,,,,
,,,760,,,,,,,
,,,1293,,,,,,,
,,,837,,,,,,,
,,,735,,,,,,,
,,,1728,,,,,,,
,,,1079,,,,,,,
,,,1173,,,,,,,
,,,1086,,,,,,,
,,,1945,,,,,,,
,,,1109,,,,,,,
,,,976,,,,,,,
,,,1928,,,,,,,
,,,681,,,,,,,
,,,1288,,,,,,,
,,,756,,,,,,,
,,,839,,,,,,,
,,,800,,,,,,,
,,,789,,,,,,,
,,,934,,,,,,,
,,,1024,,,,,,,
,,,1380,,,,,,,
,,,1853,,,,,,,
,,,768,,,,,,,
,,,1092,,,,,,,
,,,800,,,,,,,
,,,770,,,,,,,
,,,815,,,,,,,
,,,769,,,,,,,
,,,837,,,,,,,
,,,1180,,,,,,,
,,,1465,,,,,,,
,,,768,,,,,,,
,,,1796,,,,,,,
,,,898,,,,,,,
,,,905,,,,,,,
,,,752,,,,,,,
,,,771,,,,,,,
,,,963,,,,,,,
,,,972,,,,,,,
,,,1028,,,,,,,
,,,888,,,,,,,
,,,725,,,,,,,
,,,843,,,,,,,
,,,1012,,,,,,,
,,,854,,,,,,,
,,,1162,,,,,,,
,,,1343,,,,,,,
,,,1179,,,,,,,
,,,855,,,,,,,
,,,892,,,,,,,
,,,911,,,,,,,
,,,781,,,,,,,
,,,1412,,,,,,,
,,,888,,,,,,,
,,,736,,,,,,,
,,,1902,,,,,,,
,,,1241,,,,,,,
,,,1199,,,,,,,
,,,1048,,,,,,,
,,,1952,,,,,,,
,,,1178,,,,,,,
,,,1060,,,,,,,
,,,1815,,,,,,,
,,,723,,,,,,,
,,,1337,,,,,,,
,,,770,,,,,,,
,,,806,,,,,,,
,,,815,,,,,,,
,,,798,,,,,,,
,,,992,,,,,,,
,,,984,,,,,,,
,,,1395,,,,,,,
,,,1946,,,,,,,
,,,795,,,,,,,
,,,1130,,,,,,,
,,,825,,,,,,,
,,,762,,,,,,,
,,,778,,,,,,,
,,,752,,,,,,,
,,,895,,,,,,,
,,,1192,,,,,,,
,,,1498,,,,,,,
,,,768,,,,,,,
,,,1876,,,,,,,
,,,912,,,,,,,
,,,1057,,,,,,,
,,,784,,,,,,,
,,,754,,,,,,,
,,,1080,,,,,,,
,,,998,,,,,,,
,,,1102,,,,,,,
,,,950,,,,,,,
,,,763,,,,,,,
,,,876,,,,,,,
,,,1095,,,,,,,
,,,856,,,,,,,
,,,1371,,,,,,,
,,,1346,,,,,,,
,,,1284,,,,,,,
,,,870,,,,,,,
,,,777,,,,,,,
,,,956,,,,,,,
,,,812,,,,,,,
,,,1381,,,,,,,
,,,936,,,,,,,
,,,746,,,,,,,
,,,2043,,,,,,,
,,,1341,,,,,,,
,,,1238,,,,,,,
,,,1137,,,,,,,
,,,2022,,,,,,,
,,,1261,,,,,,,
,,,1136,,,,,,,
,,,2023,,,,,,,
,,,767,,,,,,,
,,,1339,,,,,,,
,,,794,,,,,,,
,,,839,,,,,,,
,,,853,,,,,,,
,,,830,,,,,,,
,,,1031,,,,,,,
,,,1032,,,,,,,
,,,1406,,,,,,,
,,,2007,,,,,,,
,,,813,,,,,,,
,,,1175,,,,,,,
,,,866,,,,,,,
,,,801,,,,,,,
,,,830,,,,,,,
,,,744,,,,,,,
,,,978,,,,,,,
,,,1260,,,,,,,
,,,1561,,,,,,,
,,,800,,,,,,,
,,,2037,,,,,,,
,,,964,,,,,,,
,,,918,,,,,,,
,,,839,,,,,,,
,,,821,,,,,,,
,,,1236,,,,,,,
,,,1040,,,,,,,
,,,1196,,,,,,,
,,,972,,,,,,,
,,,846,,,,,,,
,,,937,,,,,,,
,,,1157,,,,,,,
,,,924,,,,,,,
,,,1499,,,,,,,
,,,1378,,,,,,,
,,,1361,,,,,,,
,,,848,,,,,,,
,,,800,,,,,,,
,,,935,,,,,,,
,,,822,,,,,,,
,,,1316,,,,,,,
,,,1021,,,,,,,
