,pcthmlsofciv
344,0.221054771
366,0.30279669800000003
407,0.222338205
356,0.29683781
221,0.233160356
199,0.3225527
349,0.17455246300000002
380,0.235698015
6,0.15840601699999998
281,0.271699559
134,0.267255303
231,0.22314343
121,0.47915871
182,0.271597633
260,0.363266993
175,0.191947913
171,0.187309478
374,0.17844010100000002
292,0.642309558
379,0.170341662
384,0.185709133
0,0.552913888
173,0.241299231
189,0.223656265
170,0.211437696
308,0.18114399
157,0.615547335
38,0.202827507
369,0.162537693
293,0.235745243
354,0.158680556
343,0.657168425
12,0.131638804
188,0.181355459
236,0.284554605
55,0.667255347
30,0.179596038
306,0.504098361
21,0.305793524
264,0.343863352
280,0.13564348699999998
191,0.235745243
347,0.205223069
93,0.24274057
162,0.343863352
266,1.147139754
285,0.18196350100000006
362,0.351256915
178,0.13564348699999998
105,0.271310307
245,0.22739245
209,0.35541351200000004
19,0.480915434
29,0.225883477
78,0.185709133
364,1.701330705
165,0.17878398899999998
219,0.179143241
377,0.2227766
71,0.2227766
94,0.18239601
179,0.271699559
394,0.6930958540000001
35,0.176680557
128,0.293192713
74,0.235698015
53,0.202161759
22,0.17270896300000002
204,0.540480796
332,0.293192713
291,0.223656265
155,0.18226892600000005
90,0.196818019
323,0.194125591
359,0.202161759
404,0.590224669
341,0.17472048199999998
390,0.495435739
242,0.239620237
4,0.778363193
275,0.241299231
375,0.144791026
177,0.197141857
143,0.205223069
393,0.209969625
152,0.29683781
80,0.234593023
117,0.164096684
156,0.299996909
258,0.299996909
212,0.203806672
315,0.318312617
104,0.18114399
61,0.18536442600000005
108,0.176882113
127,0.114946119
81,0.190263745
401,0.185178031
297,0.278990689
44,0.173540904
164,1.147139754
317,1.054630441
89,0.209771319
324,0.15634609
406,0.15887014300000002
360,0.289389539
220,0.17314511300000002
335,0.248830962
166,0.277818991
167,0.17618265800000002
267,0.17878398899999998
7,1.58315125
287,0.242524917
115,0.24500842
326,0.225524367
239,0.196464966
342,0.228318199
136,0.92285405
216,0.181235294
249,0.165967333
389,0.269661734
276,0.323329967
145,0.17455246300000002
282,0.196158503
237,0.61178364
232,0.314989138
49,0.174341695
37,0.7529166270000001
34,0.970216397
338,0.267255303
23,0.256726313
330,0.200591441
235,0.222197773
240,0.202824616
10,0.205421248
66,0.154112199
28,0.137429065
207,0.313700628
396,0.196818019
124,0.185936152
229,0.15476469199999998
161,0.225500527
194,0.237063246
137,0.17472048199999998
298,0.173282872
234,0.194612795
112,0.201035409
69,0.144791026
132,0.196491228
100,0.15887014300000002
316,0.201035409
386,0.234593023
328,0.185936152
373,0.149215541
246,0.295424371
85,0.947010996
274,0.544833143
309,0.271310307
272,0.211437696
110,0.208298407
185,0.242524917
336,0.196491228
337,0.190073259
151,0.167369902
187,0.897182279
387,0.190263745
122,0.225524367
318,0.16416488
131,0.248830962
138,0.228318199
203,0.244193548
248,0.207732454
92,0.252946312
346,0.17123617100000002
367,0.18536442600000005
195,0.278990689
62,0.959870645
391,0.947010996
174,0.323329967
333,0.182678
45,0.130415173
352,0.354969574
130,0.261653051
50,0.187542779
97,0.373229257
197,0.186029558
215,1.124391324
238,0.91243706
295,0.218119791
402,0.13697845
376,0.525422841
63,0.162537693
288,0.522199478
169,0.151332125
247,0.181997064
257,0.18226892600000005
251,0.548962515
269,0.17618265800000002
300,0.148615326
399,0.24274057
153,0.542809177
371,0.164183019
40,0.173956553
355,0.167369902
319,0.24500842
65,0.164183019
206,0.19153075
8,0.187920832
77,0.267670032
58,1.701330705
250,0.442346791
119,0.194125591
141,0.212536023
88,0.6930958540000001
372,0.154112199
254,0.260443864
60,0.30279669800000003
256,0.189281274
296,0.237063246
351,0.141286882
46,0.316385822
86,0.178085524
109,1.864520958
133,0.190073259
16,0.160802323
303,0.181704861
193,0.218119791
370,0.234827264
116,0.167275995
294,0.210526316
27,0.182917968
140,0.221054771
198,0.148615326
14,0.15778155900000002
87,0.209969625
265,0.261522254
262,2.113924051
222,0.188403121
243,0.198641159
259,0.615547335
327,0.324832597
103,0.175447523
149,0.567771084
139,0.657168425
67,0.149215541
3,0.282348626
56,0.351256915
304,0.17617172600000006
233,0.27472967600000003
51,0.568047337
1,0.144119857
18,0.140207857
268,0.277818991
381,0.191909966
312,0.176882113
25,0.092739093
183,0.18196350100000006
186,0.522199478
43,0.183609538
129,0.182678
244,0.234105815
255,0.542809177
270,0.1731625
383,0.267670032
154,0.189281274
70,0.525422841
368,0.959870645
158,0.363266993
385,0.13624937199999998
271,0.151332125
146,0.181713922
205,0.18400927
278,0.245904934
314,0.208298407
331,0.114946119
64,0.234827264
325,0.47915871
400,0.18239601
168,0.1731625
76,0.10586485
290,0.181355459
350,0.181713922
118,0.154568802
213,0.376326051
353,0.567771084
358,0.155539451
180,0.196158503
348,0.260046319
99,0.15711449800000002
361,0.667255347
135,0.538646679
176,0.245904934
392,0.178085524
84,0.495435739
405,0.15711449800000002
39,0.190467593
340,0.92285405
2,0.198350124
311,0.362611866
305,0.283118599
68,0.17844010100000002
208,0.610245811
395,0.209771319
253,0.233104675
334,0.261653051
339,0.538646679
111,0.318312617
224,0.263869669
32,0.340226748
73,0.170341662
47,0.54497007
126,0.200591441
113,1.054630441
96,0.13697845
225,0.349697774
214,0.290542106
57,0.208495018
123,0.324832597
106,0.684225037
83,0.269661734
17,0.19716744
230,0.32708134
98,0.590224669
322,0.154568802
382,0.10586485
365,0.221857699
